canonical_vi,canonical_en,parent_vi,parent_en,keywords
Trí tuệ nhân tạo,Artificial Intelligence,Khoa học dữ liệu & Phân tích,Data Science & Analytics,tri tue nhan tao|artificial intelligence|\bai\b|ai major|nganh ai|tri tue nhan tao va may hoc|artificial intelligence and machine learning
Học máy & Khai phá dữ liệu,Machine Learning & Data Mining,Khoa học dữ liệu & Phân tích,Data Science & Analytics,hoc may|machine learning|\bml\b|khai pha du lieu|data mining|mining|machine learning and data mining
Kinh tế lượng / Phân tích định lượng,Econometrics / Quantitative Analysis,Khoa học dữ liệu & Phân tích,Data Science & Analytics,kinh te luong|econometrics|quantitative analysis|phan tich dinh luong|quantitative economics|kinh te dinh luong|quant econ
Toán học,Mathematics,Toán học & Thống kê,Mathematics & Statistics,toan hoc|mathematics|math|toan|pure math|toan hoc thuan|toan dai so|toan tuyen tinh
Toán ứng dụng,Applied Mathematics,Toán học & Thống kê,Mathematics & Statistics,toan ung dung|applied mathematics|applied math|toan ung dung va kinh te|mathematical modeling
Thống kê,Statistics,Toán học & Thống kê,Mathematics & Statistics,thong ke|statistics|stat|thong ke hoc|statistical science|thong ke thuan
Thống kê ứng dụng,Applied Statistics,Toán học & Thống kê,Mathematics & Statistics,thong ke ung dung|applied statistics|applied stat|thong ke kinh te|economic statistics|thong ke du lieu
Toán - Tin,Mathematics - Computer Science,Toán học & Thống kê,Mathematics & Statistics,toan tin|mathematics computer science|math cs|toan hoc va tin hoc|math and cs|toan - tin hoc
Toán - Kinh tế,Mathematics - Economics,Toán học & Thống kê,Mathematics & Statistics,toan kinh te|mathematics economics|math econ|toan hoc va kinh te|math and economics
Nghiên cứu thao tác / Tối ưu hóa,Operations Research / Optimization,Toán học & Thống kê,Mathematics & Statistics,nghien cuu thao tac|operations research|\bor\b|toi uu hoa|optimization|operations research and optimization
Kinh tế học,Economics,Kinh tế & Tài chính,Economics & Finance,kinh te hoc|economics|kinh te|econ|kinh te vi mo|microeconomics|kinh te vi mo va hoanh|macroeconomics
Tài chính - Ngân hàng,Finance - Banking,Kinh tế & Tài chính,Economics & Finance,tai chinh ngan hang|finance banking|tai chinh|finance|ngan hang|banking|tai chinh va ngan hang|financial economics
Kế toán,Accounting,Kinh tế & Tài chính,Economics & Finance,ke toan|accounting|accountancy|ke toan kiem toan|accounting and auditing|kiem toan|auditing
Kế toán - Kiểm toán,Accounting & Auditing,Kinh tế & Tài chính,Economics & Finance,ke toan kiem toan|accounting auditing|ke toan va kiem toan|accounting and auditing
Quản trị kinh doanh,Business Administration,Kinh tế & Tài chính,Economics & Finance,quan tri kinh doanh|business administration|\bbba\b|\bmba\b|quan tri doanh nghiep|business management|business admin
Tài chính định lượng,Quantitative Finance,Kinh tế & Tài chính,Economics & Finance,tai chinh dinh luong|quantitative finance|quant finance|financial engineering|tai chinh va dinh luong|computational finance
Toán bảo hiểm / Khoa học bảo hiểm,Actuarial Science,Kinh tế & Tài chính,Economics & Finance,toan bao hiem|actuarial science|actuary|khoa hoc bao hiem|actuarial mathematics|bao hiem tinh toan
Quản trị rủi ro,Risk Management,Kinh tế & Tài chính,Economics & Finance,quan tri rui ro|risk management|risk analysis|risk admin
Marketing,Marketing,Kinh tế & Tài chính,Economics & Finance,marketing|nganh marketing|marketing management|quan tri marketing|digital marketing
Kinh tế quốc tế,International Economics,Kinh tế & Tài chính,Economics & Finance,kinh te quoc te|international economics|international trade|kinh te doi ngoai|thuong mai quoc te
Kỹ thuật công nghiệp,Industrial Engineering,Kỹ thuật & Vật lý,Engineering & Physics,ky thuat cong nghiep|industrial engineering|\bie\b|cong nghiep|industrial eng|san xuat cong nghiep
Kỹ thuật hệ thống,Systems Engineering,Kỹ thuật & Vật lý,Engineering & Physics,ky thuat he thong|systems engineering|system engineering|he thong ky thuat
Kỹ thuật điện - điện tử,Electrical - Electronics Engineering,Kỹ thuật & Vật lý,Engineering & Physics,ky thuat dien dien tu|electrical engineering|electronics engineering|\bee\b|dien tu|co dien|electrical and electronics
Cơ điện tử,Mechatronics,Kỹ thuật & Vật lý,Engineering & Physics,co dien tu|mechatronics|mechatronic engineering|robotics|co khi dien tu
Kỹ thuật điều khiển & Tự động hóa,Control & Automation Engineering,Kỹ thuật & Vật lý,Engineering & Physics,ky thuat dieu khien tu dong hoa|control engineering|automation engineering|tu dong hoa|automation|control and automation
Vật lý học,Physics,Kỹ thuật & Vật lý,Engineering & Physics,vat ly hoc|physics|vat ly|phys|vat ly thuan|pure physics
Vật lý ứng dụng,Applied Physics,Kỹ thuật & Vật lý,Engineering & Physics,vat ly ung dung|applied physics|vat ly ky thuat|engineering physics|vat ly cong nghe
Kỹ thuật cơ khí,Mechanical Engineering,Kỹ thuật & Vật lý,Engineering & Physics,ky thuat co khi|mechanical engineering|\bme\b|co khi|mechanical eng
Kỹ thuật sinh học,Bioengineering / Biomedical Engineering,Kỹ thuật & Vật lý,Engineering & Physics,ky thuat sinh hoc|bioengineering|biomedical engineering|sinh hoc ky thuat|bio eng|biomedical eng
Công nghệ sinh học,Biotechnology,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,cong nghe sinh hoc|biotechnology|\bbiotech\b|sinh hoc cong nghe|biological technology|bio tech
Tin sinh học,Bioinformatics,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,tin sinh hoc|bioinformatics|bio info|computational biology|tin hoc sinh hoc|biological informatics
Sinh học,Biology,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,sinh hoc|biology|\bbio\b|biological science|sinh hoc thuan|life science|biological studies
Hóa học,Chemistry,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,hoa hoc|chemistry|\bchem\b|hoa hoc thuan|chemical science|hoa hoc ung dung|applied chemistry
Khoa học môi trường,Environmental Science,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,khoa hoc moi truong|environmental science|env science|moi truong|environmental studies|khoa hoc va moi truong
Dược học,Pharmacy / Pharmaceutical Science,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,duoc hoc|pharmacy|pharmaceutical science|duoc pham|pharmaceutics|duoc
Y học,Medicine,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,y hoc|medicine|medical|y khoa|medical science|doctor|bac si|y dieu duong|nursing
Nông nghiệp công nghệ,Agritech / Agricultural Technology,Khoa học tự nhiên & Sinh học,Natural Sciences & Biology,nong nghiep cong nghe|agritech|agricultural technology|nong nghiep|agriculture|cong nghe nong nghiep
Quản trị thông tin,Information Management,Quản trị & Hệ thống,Management & Systems,quan tri thong tin|information management|info management|thong tin quan ly|knowledge management
Quản trị dự án,Project Management,Quản trị & Hệ thống,Management & Systems,quan tri du an|project management|\bpm\b|project admin|du an|project mgmt
Quản trị chuỗi cung ứng,Supply Chain Management,Quản trị & Hệ thống,Management & Systems,quan tri chuoi cung ung|supply chain management|\bscm\b|chuoi cung ung|logistics management|supply chain admin
Quản lý công,Public Administration,Quản trị & Hệ thống,Management & Systems,quan ly cong|public administration|public management|hanh chinh cong|public policy|chinh sach cong
Hệ thống thông tin địa lý,GIS / Geographic Information Systems,Quản trị & Hệ thống,Management & Systems,he thong thong tin dia ly|gis|geographic information system|dia ly thong tin|geo informatics|spatial data
Thương mại điện tử,E-commerce,Quản trị & Hệ thống,Management & Systems,thuong mai dien tu|e-commerce|ecommerce|digital commerce|ban hang online|online business
Chuyển đổi số,Digital Transformation,Quản trị & Hệ thống,Management & Systems,chuyen doi so|digital transformation|digital strategy|chuyen doi so va cong nghe|digital innovation
Kỹ thuật robot,Robotics Engineering,Kỹ thuật & Vật lý,Engineering & Physics,robotics|robot engineering|ky thuat robot|robotics engineering|robot design
Kỹ thuật hàng không,Aerospace Engineering,Kỹ thuật & Vật lý,Engineering & Physics,aerospace engineering|ky thuat hang khong|aeronautical|astronautical|hang khong vu tru
Kỹ thuật hạt nhân,Nuclear Engineering,Kỹ thuật & Vật lý,Engineering & Physics,nuclear engineering|ky thuat hat nhan|nuclear physics|nuclear power|lo hat nhan
Kỹ thuật dầu khí,Petroleum Engineering,Kỹ thuật & Vật lý,Engineering & Physics,petroleum engineering|ky thuat dau khi|dau khi|oil and gas engineering|drilling engineering
Kỹ thuật luyện kim,Metallurgical Engineering,Kỹ thuật & Vật lý,Engineering & Physics,metallurgical engineering|luyen kim|metallurgy|vat lieu kim loai|kim loai hoc
Kỹ thuật vật liệu,Materials Science & Engineering,Kỹ thuật & Vật lý,Engineering & Physics,materials science|materials engineering|khoa hoc vat lieu|ky thuat vat lieu|nanomaterials
Kỹ thuật xây dựng,Civil Engineering,Kỹ thuật & Vật lý,Engineering & Physics,civil engineering|ky thuat xay dung|xay dung|construction engineering|structural engineering
Kỹ thuật giao thông,Transportation Engineering,Kỹ thuật & Vật lý,Engineering & Physics,transportation engineering|ky thuat giao thong|giao thong|traffic engineering|highway engineering
Kỹ thuật môi trường,Environmental Engineering,Kỹ thuật & Vật lý,Engineering & Physics,environmental engineering|ky thuat moi truong|moi truong|xu ly nuoc thai|air pollution
Kỹ thuật thực phẩm,Food Engineering,Kỹ thuật & Vật lý,Engineering & Physics,food engineering|ky thuat thuc pham|thuc pham|food processing|food technology
Kỹ thuật in ấn,Printing Engineering,Kỹ thuật & Vật lý,Engineering & Physics,printing engineering|ky thuat in|in an|printing technology|packaging engineering
Kiến trúc,Architecture,Kỹ thuật & Vật lý,Engineering & Physics,architecture|kien truc|architectural design|urban design|landscape architecture
Quy hoạch đô thị,Urban Planning,Kỹ thuật & Vật lý,Engineering & Physics,urban planning|quy hoach do thi|quy hoach|city planning|regional planning
Thiết kế công nghiệp,Industrial Design,Kỹ thuật & Vật lý,Engineering & Physics,industrial design|thiet ke cong nghiep|product design|design engineering
Thiết kế đồ họa,Graphic Design,Nghệ thuật & Thiết kế,Arts & Design,graphic design|thiet ke do hoa|visual communication|thiet ke my thuat
Thiết kế thời trang,Fashion Design,Nghệ thuật & Thiết kế,Arts & Design,fashion design|thiet ke thoi trang|thoi trang|apparel design|textile design
Thiết kế nội thất,Interior Design,Nghệ thuật & Thiết kế,Arts & Design,interior design|thiet ke noi that|noi that|space planning|interior architecture
Thiết kế sản phẩm,Product Design,Nghệ thuật & Thiết kế,Arts & Design,product design|thiet ke san pham|industrial design|design product
Thiết kế game,Game Design,Nghệ thuật & Thiết kế,Arts & Design,game design|thiet ke game|game development|game art|interactive design
Mỹ thuật,Fine Arts,Nghệ thuật & Thiết kế,Arts & Design,fine arts|my thuat|visual arts|painting|sculpture|drawing
Nhiếp ảnh,Photography,Nghệ thuật & Thiết kế,Arts & Design,photography|nhiep anh|photo|digital photography|commercial photography
Điện ảnh,Film & Cinema,Nghệ thuật & Thiết kế,Arts & Design,film|cinema|dien anh|film production|filmmaking|movie production
Âm nhạc,Music,Nghệ thuật & Thiết kế,Arts & Design,music|am nhac|music performance|music composition|music theory|music production
Sân khấu & Điện ảnh,Theater & Film,Nghệ thuật & Thiết kế,Arts & Design,theater|san khau|drama|performing arts|stage design|acting
Báo chí,Journalism,Truyền thông & Báo chí,Media & Journalism,journalism|bao chi|news|reporting|investigative journalism|digital journalism
Truyền thông đa phương tiện,Multimedia Communications,Truyền thông & Báo chí,Media & Journalism,multimedia|truyen thong da phuong tien|media production|digital media|content creation
Quan hệ công chúng,Public Relations,Truyền thông & Báo chí,Media & Journalism,public relations|\bpr\b|quan he cong chung|corporate communications|media relations
Quảng cáo,Advertising,Truyền thông & Báo chí,Media & Journalism,advertising|quang cao|advertising creative|media planning|ad campaign
Truyền thông quốc tế,International Communications,Truyền thông & Báo chí,Media & Journalism,international communications|truyen thong quoc te|global media|cross-cultural communication
Xuất bản,Publishing,Truyền thông & Báo chí,Media & Journalism,publishing|xuat ban|book publishing|digital publishing|editorial
Luật học,Law,Pháp luật,Legal Studies,law|luat|luat hoc|legal studies|jurisprudence|luat dan su|luat hinh su
Luật kinh tế,Commercial Law,Pháp luật,Legal Studies,commercial law|luat kinh te|business law|corporate law|trade law
Luật quốc tế,International Law,Pháp luật,Legal Studies,international law|luat quoc te|public international law|private international law
Luật dân sự,Civil Law,Pháp luật,Legal Studies,civil law|luat dan su|tort law|contract law|property law
Luật hình sự,Criminal Law,Pháp luật,Legal Studies,criminal law|luat hinh su|penal law|criminal justice
Luật lao động,Labor Law,Pháp luật,Legal Studies,labor law|luat lao dong|employment law|workplace law
Luật sở hữu trí tuệ,Intellectual Property Law,Pháp luật,Legal Studies,intellectual property|so huu tri tue|ip law|patent law|copyright law|trademark law
Luật môi trường,Environmental Law,Pháp luật,Legal Studies,environmental law|luat moi truong|climate law|natural resources law
Tâm lý học,Psychology,Khoa học xã hội,Social Sciences,psychology|tam ly hoc|tam ly|clinical psychology|cognitive psychology|behavioral psychology
Tâm lý học tổ chức,Organizational Psychology,Khoa học xã hội,Social Sciences,organizational psychology|tam ly to chuc|industrial psychology|work psychology|io psychology
Xã hội học,Sociology,Khoa học xã hội,Social Sciences,sociology|xa hoi hoc|xa hoi|social studies|sociological research
Nhân học,Anthropology,Khoa học xã hội,Social Sciences,anthropology|nhan hoc|cultural anthropology|social anthropology|ethnography
Khoa học chính trị,Political Science,Khoa học xã hội,Social Sciences,political science|khoa hoc chinh tri|chinh tri|political studies|government
Quan hệ quốc tế,International Relations,Khoa học xã hội,Social Sciences,international relations|quan he quoc te|diplomacy|foreign affairs|global studies
Triết học,Philosophy,Khoa học xã hội,Social Sciences,philosophy|triet hoc|triet|ethics|logic|metaphysics|epistemology
Lịch sử,History,Khoa học xã hội,Social Sciences,history|lich su|historical studies|world history|modern history
Địa lý,Geography,Khoa học xã hội,Social Sciences,geography|dia ly|human geography|physical geography|geospatial
Ngôn ngữ học,Linguistics,Khoa học xã hội,Social Sciences,linguistics|ngon ngu hoc|ngon ngu|computational linguistics|applied linguistics
Văn học,Literature,Khoa học xã hội,Social Sciences,literature|van hoc|literary studies|creative writing|comparative literature
Công tác xã hội,Social Work,Khoa học xã hội,Social Sciences,social work|cong tac xa hoi|xa hoi|community work|welfare services
Giáo dục học,Education,Khoa học giáo dục,Education Sciences,education|giao duc hoc|giao duc|pedagogy|educational studies|teaching
Giáo dục mầm non,Early Childhood Education,Khoa học giáo dục,Education Sciences,early childhood|giao duc mam non|preschool education|kindergarten education|child development
Giáo dục tiểu học,Primary Education,Khoa học giáo dục,Education Sciences,primary education|giao duc tieu hoc|elementary education|grade school teaching
Giáo dục đặc biệt,Special Education,Khoa học giáo dục,Education Sciences,special education|giao duc dac biet|inclusive education|learning disabilities
Công nghệ giáo dục,Educational Technology,Khoa học giáo dục,Education Sciences,educational technology|cong nghe giao duc|edtech|instructional technology|e-learning design
Đo lường & Đánh giá trong giáo dục,Educational Measurement & Assessment,Khoa học giáo dục,Education Sciences,educational measurement|do luong giao duc|assessment|testing|evaluation
Quản lý giáo dục,Educational Management,Khoa học giáo dục,Education Sciences,educational management|quan ly giao duc|school administration|educational leadership
Sư phạm Toán học,Mathematics Education,Khoa học giáo dục,Education Sciences,mathematics education|su pham toan|toan education|math teaching
Sư phạm Ngữ văn,Literature Education,Khoa học giáo dục,Education Sciences,literature education|su pham ngu van|language arts education|literature teaching
Sư phạm Tiếng Anh,English Education,Khoa học giáo dục,Education Sciences,english education|su pham tieng anh|tesol|tefl|english teaching
Sư phạm Vật lý,Physics Education,Khoa học giáo dục,Education Sciences,physics education|su pham vat ly|physics teaching|science education
Sư phạm Hóa học,Chemistry Education,Khoa học giáo dục,Education Sciences,chemistry education|su pham hoa hoc|chemistry teaching|chemical education
Sư phạm Sinh học,Biology Education,Khoa học giáo dục,Education Sciences,biology education|su pham sinh hoc|biology teaching|life science education
Sư phạm Lịch sử,History Education,Khoa học giáo dục,Education Sciences,history education|su pham lich su|history teaching|social studies education
Sư phạm Địa lý,Geography Education,Khoa học giáo dục,Education Sciences,geography education|su pham dia ly|geography teaching|spatial education
Sư phạm Tin học,Computer Science Education,Khoa học giáo dục,Education Sciences,computer science education|su pham tin hoc|it education|programming teaching
Y tế công cộng,Public Health,Y tế & Sức khỏe,Health & Medicine,public health|y te cong cong|community health|epidemiology|global health
Điều dưỡng,Nursing,Y tế & Sức khỏe,Health & Medicine,nursing|dieu duong|registered nurse|nursing science|clinical nursing
Hộ sinh,Midwifery,Y tế & Sức khỏe,Health & Medicine,midwifery|ho sinh|maternity|obstetrics nursing|prenatal care
Kỹ thuật xét nghiệm y học,Medical Laboratory Science,Y tế & Sức khỏe,Health & Medicine,medical laboratory|ky thuat xet nghiem|clinical laboratory|lab science|pathology
Kỹ thuật hình ảnh y học,Medical Imaging,Y tế & Sức khỏe,Health & Medicine,medical imaging|ky thuat hinh anh|radiology|x-ray technology|mri technology|ct scan
Vật lý trị liệu,Physical Therapy,Y tế & Sức khỏe,Health & Medicine,physical therapy|vat ly tri lieu|physiotherapy|rehabilitation|kinesiology
Hoạt động trị liệu,Occupational Therapy,Y tế & Sức khỏe,Health & Medicine,occupational therapy|hoat dong tri lieu|rehabilitation|functional therapy
Ngôn ngữ trị liệu,Speech Therapy,Y tế & Sức khỏe,Health & Medicine,speech therapy|ngon ngu tri lieu|speech-language pathology|communication disorders
Dinh dưỡng,Nutrition,Y tế & Sức khỏe,Health & Medicine,nutrition|dinh duong|dietetics|clinical nutrition|food nutrition
Răng hàm mặt,Dentistry,Y tế & Sức khỏe,Health & Medicine,dentistry|rang ham mat|dental science|oral health|dentistry
Y học cổ truyền,Traditional Medicine,Y tế & Sức khỏe,Health & Medicine,traditional medicine|y hoc co truyen|oriental medicine|herbal medicine|acupuncture
Y học dự phòng,Preventive Medicine,Y tế & Sức khỏe,Health & Medicine,preventive medicine|y hoc du phong|preventive health|disease prevention
Kỹ thuật phục hồi chức năng,Rehabilitation Engineering,Y tế & Sức khỏe,Health & Medicine,rehabilitation engineering|ky thuat phuc hoi chuc nang|prosthetics|orthotics|assistive technology
Quản lý bệnh viện,Hospital Management,Y tế & Sức khỏe,Health & Medicine,hospital management|quan ly benh vien|healthcare administration|medical management
Công nghệ kỹ thuật ô tô,Automotive Engineering Technology,Kỹ thuật & Công nghệ,Engineering & Technology,automotive engineering|cong nghe ky thuat o to|oto|xe hoi|vehicle engineering
Công nghệ dệt may,Textile Technology,Kỹ thuật & Công nghệ,Engineering & Technology,textile technology|cong nghe det may|det may|vai|fabric technology
Công nghệ da giày,Footwear & Leather Technology,Kỹ thuật & Công nghệ,Engineering & Technology,footwear technology|cong nghe da giay|giay dep|leather technology
Công nghệ hóa học,Chemical Engineering Technology,Kỹ thuật & Công nghệ,Engineering & Technology,chemical engineering|cong nghe hoa hoc|hoa chat|chemical process
Công nghệ môi trường,Environmental Technology,Kỹ thuật & Công nghệ,Engineering & Technology,environmental technology|cong nghe moi truong|xu ly moi truong|green technology
Công nghệ thực phẩm,Food Technology,Kỹ thuật & Công nghệ,Engineering & Technology,food technology|cong nghe thuc pham|thuc pham|food science|food processing
Công nghệ sinh học,Biotechnology,Kỹ thuật & Công nghệ,Engineering & Technology,biotechnology|cong nghe sinh hoc|bio tech|genetic engineering|molecular biology
Công nghệ nano,Nanotechnology,Kỹ thuật & Công nghệ,Engineering & Technology,nanotechnology|cong nghe nano|nano|nanomaterials|nanoscience
Công nghệ vũ trụ,Space Technology,Kỹ thuật & Công nghệ,Engineering & Technology,space technology|cong nghe vu tru|satellite|aerospace technology|space science
Công nghệ hạt nhân,Nuclear Technology,Kỹ thuật & Công nghệ,Engineering & Technology,nuclear technology|cong nghe hat nhan|nuclear|nuclear engineering|radiation technology
Logistics & Quản lý chuỗi cung ứng,Logistics & Supply Chain Management,Quản trị & Kinh doanh,Business & Management,logistics|supply chain|quan ly chuoi cung ung|van tai|kho van|procurement
Quản trị nhân lực,Human Resource Management,Quản trị & Kinh doanh,Business & Management,human resources|quan tri nhan luc|hr management|talent management|people management
Quản trị khách sạn,Hospitality Management,Quản trị & Kinh doanh,Business & Management,hospitality|quan tri khach san|hotel management|resort management|tourism management
Quản trị nhà hàng,Restaurant Management,Quản trị & Kinh doanh,Business & Management,restaurant management|quan tri nha hang|food service|culinary management|f&b management
Quản trị du lịch,Tourism Management,Quản trị & Kinh doanh,Business & Management,tourism|quan tri du lich|travel management|tour operations|destination management
Quản trị sự kiện,Event Management,Quản trị & Kinh doanh,Business & Management,event management|quan tri su kien|event planning|conference management|exhibition management
Quản trị thể thao,Sports Management,Quản trị & Kinh doanh,Business & Management,sports management|quan tri the thao|sports administration|athletic management|fitness management
Quản trị nghệ thuật,Arts Management,Quản trị & Kinh doanh,Business & Management,arts management|quan tri nghe thuat|cultural management|gallery management|museum management
Quản trị công nghệ,Technology Management,Quản trị & Kinh doanh,Business & Management,technology management|quan tri cong nghe|tech management|innovation management|it management
Quản trị chất lượng,Quality Management,Quản trị & Kinh doanh,Business & Management,quality management|quan tri chat luong|quality assurance|six sigma|total quality management
Quản trị bất động sản,Real Estate Management,Quản trị & Kinh doanh,Business & Management,real estate|quan tri bat dong san|property management|real estate development|property investment
Bảo hiểm,Insurance,Tài chính & Bảo hiểm,Finance & Insurance,insurance|bao hiem|actuarial|risk management|underwriting|claims management
Đầu tư tài chính,Financial Investment,Tài chính & Bảo hiểm,Finance & Insurance,investment|dau tu tai chinh|portfolio management|securities|asset management
Ngân hàng,Banking,Tài chính & Bảo hiểm,Finance & Insurance,banking|ngan hang|retail banking|commercial banking|investment banking
Tài chính doanh nghiệp,Corporate Finance,Tài chính & Bảo hiểm,Finance & Insurance,corporate finance|tai chinh doanh nghiep|business finance|financial management|capital budgeting
Tài chính quốc tế,International Finance,Tài chính & Bảo hiểm,Finance & Insurance,international finance|tai chinh quoc te|forex|foreign exchange|global finance
Thương mại quốc tế,International Trade,Kinh doanh & Thương mại,Business & Trade,international trade|thuong mai quoc te|global trade|import export|cross-border commerce
Quản trị kinh doanh quốc tế,International Business Management,Kinh doanh & Thương mại,Business & Trade,international business|quan tri kinh doanh quoc te|global business|multinational management
Khởi nghiệp,Entrepreneurship,Kinh doanh & Thương mại,Business & Trade,entrepreneurship|khoi nghiep|startup|new venture|business creation
Kinh doanh số,Digital Business,Kinh doanh & Thương mại,Business & Trade,digital business|kinh doanh so|digital commerce|online business|e-business
Kinh doanh thời trang,Fashion Business,Kinh doanh & Thương mại,Business & Trade,fashion business|kinh doanh thoi trang|fashion marketing|fashion retail|apparel business
Kinh doanh thể thao,Sports Business,Kinh doanh & Thương mại,Business & Trade,sports business|kinh doanh the thao|sports marketing|athletic business|sports entertainment
Kinh doanh âm nhạc,Music Business,Kinh doanh & Thương mại,Business & Trade,music business|kinh doanh am nhac|music industry|entertainment business|record label
Kinh doanh điện ảnh,Film Business,Kinh doanh & Thương mại,Business & Trade,film business|kinh doanh dien anh|movie industry|entertainment|film production business
Kinh doanh nông nghiệp,Agricultural Business,Kinh doanh & Thương mại,Business & Trade,agricultural business|kinh doanh nong nghiep|agribusiness|farm management|agricultural economics
Kinh doanh bất động sản,Real Estate Business,Kinh doanh & Thương mại,Business & Trade,real estate business|kinh doanh bat dong san|property development|real estate investment|realty
Kinh doanh bảo hiểm,Insurance Business,Kinh doanh & Thương mại,Business & Trade,insurance business|kinh doanh bao hiem|insurance sales|insurance marketing|actuarial business
Kinh doanh logistics,Logistics Business,Kinh doanh & Thương mại,Business & Trade,logistics business|kinh doanh logistics|freight forwarding|shipping business|transportation business
Kinh doanh khách sạn,Hotel Business,Kinh doanh & Thương mại,Business & Trade,hotel business|kinh doanh khach san|hospitality business|accommodation business|lodging business
Kinh doanh nhà hàng,Restaurant Business,Kinh doanh & Thương mại,Business & Trade,restaurant business|kinh doanh nha hang|food service business|culinary business|dining business
Kinh doanh du lịch,Tourism Business,Kinh doanh & Thương mại,Business & Trade,tourism business|kinh doanh du lich|travel business|tour operator|tourism marketing
Kinh doanh spa & làm đẹp,Spa & Beauty Business,Kinh doanh & Thương mại,Business & Trade,spa business|kinh doanh spa|beauty business|wellness business|salon business
Kinh doanh thể dục,Fitness Business,Kinh doanh & Thương mại,Business & Trade,fitness business|kinh doanh the duc|gym business|health club|wellness center business
Kinh doanh giáo dục,Education Business,Kinh doanh & Thương mại,Business & Trade,education business|kinh doanh giao duc|edtech business|training business|school management
Kinh doanh y tế,Healthcare Business,Kinh doanh & Thương mại,Business & Trade,healthcare business|kinh doanh y te|medical business|hospital business|pharmaceutical business
Kinh doanh công nghệ,Technology Business,Kinh doanh & Thương mại,Business & Trade,technology business|kinh doanh cong nghe|tech business|software business|it services business
Kinh doanh truyền thông,Media Business,Kinh doanh & Thương mại,Business & Trade,media business|kinh doanh truyen thong|advertising business|publishing business|broadcasting business
Kinh doanh sáng tạo,Creative Business,Kinh doanh & Thương mại,Business & Trade,creative business|kinh doanh sang tao|design business|content business|creative agency
Kinh doanh xanh,Green Business,Kinh doanh & Thương mại,Business & Trade,green business|kinh doanh xanh|sustainable business|eco business|clean tech business
Kinh doanh xã hội,Social Enterprise,Kinh doanh & Thương mại,Business & Trade,social enterprise|kinh doanh xa hoi|social business|impact business|nonprofit business
