canonical_vi,canonical_en,parent_vi,parent_en,keywords
DigitalOcean,DigitalOcean,Nền tảng đám mây,Cloud Platforms,digitalocean|digital ocean|do cloud|droplet
Linode / Akamai,Linode / Akamai,Nền tảng đám mây,Cloud Platforms,linode|akamai|akamai linode|linode cloud
Vultr,Vultr,Nền tảng đám mây,Cloud Platforms,vultr|vultr cloud
OVHcloud,OVHcloud,Nền tảng đám mây,Cloud Platforms,ovh|ovhcloud|ovh cloud
Hetzner,Hetzner,Nền tảng đám mây,Cloud Platforms,hetzner|hetzner cloud
Scaleway,Scaleway,Nền tảng đám mây,Cloud Platforms,scaleway|scaleway cloud
Tencent Cloud,Tencent Cloud,Nền tảng đám mây,Cloud Platforms,tencent cloud|tencent|qcLOUD
Huawei Cloud,Huawei Cloud,Nền tảng đám mây,Cloud Platforms,huawei cloud|huawei
Naver Cloud,Naver Cloud,Nền tảng đám mây,Cloud Platforms,naver cloud|naver
Kubernetes,Kubernetes,Quản lý container,Container Management,kubernetes|\bk8s\b|k8s cluster|kubernetes cluster
Docker Swarm,Docker Swarm,Quản lý container,Container Management,docker swarm|swarm mode|docker orchestration
Amazon ECR,Amazon ECR,Quản lý container,Container Management,ecr|amazon ecr|elastic container registry
Azure Container Registry,Azure Container Registry,Quản lý container,Container Management,acr|azure container registry|container registry azure
Google Artifact Registry,Google Artifact Registry,Quản lý container,Container Management,gar|google artifact registry|gcr|google container registry
Terraform,Terraform,Infrastructure as Code,Infrastructure as Code,terraform|tf|hashicorp terraform|iac terraform
Pulumi,Pulumi,Infrastructure as Code,Infrastructure as Code,pulumi|pulumi iac
AWS CDK,AWS CDK,Infrastructure as Code,Infrastructure as Code,cdk|aws cdk|cloud development kit
Azure Bicep,Azure Bicep,Infrastructure as Code,Infrastructure as Code,bicep|azure bicep|bicep template
Ansible,Ansible,Cấu hình & Tự động hóa,Configuration & Automation,ansible|ansible playbook|redhat ansible
Chef,Chef,Cấu hình & Tự động hóa,Configuration & Automation,chef|chef infra|chef cookbook
Puppet,Puppet,Cấu hình & Tự động hóa,Configuration & Automation,puppet|puppet enterprise|puppet forge
SaltStack,SaltStack,Cấu hình & Tự động hóa,Configuration & Automation,salt|saltstack|salt state
Cloudflare,Cloudflare,Mạng & CDN,Networking & CDN,cloudflare|cloudflare workers|cloudflare cdn|cloudflare dns
Fastly,Fastly,Mạng & CDN,Networking & CDN,fastly|fastly cdn|edge computing fastly
Akamai,Akamai,Mạng & CDN,Networking & CDN,akamai|akamai cdn|akamai edge
AWS VPC,AWS VPC,Mạng AWS,AWS Networking Services,vpc|aws vpc|virtual private cloud
Azure VNet,Azure VNet,Mạng Azure,Azure Networking Services,vnet|azure vnet|virtual network azure
Google VPC,Google VPC,Mạng GCP,GCP Networking Services,vpc|google vpc|virtual private cloud gcp
AWS Route 53,AWS Route 53,Mạng AWS,AWS Networking Services,route 53|aws route 53|dns aws
Azure DNS,Azure DNS,Mạng Azure,Azure Networking Services,azure dns|dns azure
Google Cloud DNS,Google Cloud DNS,Mạng GCP,GCP Networking Services,cloud dns|google cloud dns|dns gcp
AWS Direct Connect,AWS Direct Connect,Mạng AWS,AWS Networking Services,direct connect|aws direct connect|dedicated connection
Azure ExpressRoute,Azure ExpressRoute,Mạng Azure,Azure Networking Services,expressroute|azure expressroute|dedicated connection azure
Google Cloud Interconnect,Google Cloud Interconnect,Mạng GCP,GCP Networking Services,cloud interconnect|google interconnect|dedicated connection gcp
